,LHS,RHS,support,confidence,coverage,lift,count
257,"Iron
oxide","Microcrystalline
cellulose",0.4768856447688564,0.784,0.608272506082725,1.00695,196
258,"Microcrystalline
cellulose","Iron
oxide",0.4768856447688564,0.6125,0.778588807785888,1.00695,196
259,"Iron
oxide","Magnesium
stearate",0.5304136253041363,0.872,0.6082725060827251,1.0095549295774648,218
260,"Magnesium
stearate","Iron
oxide",0.5304136253041363,0.6140845070422535,0.8637469586374696,1.0095549295774646,218
261,"Iron
oxide","Titanium
dioxide",0.5693430656934306,0.936,0.608272506082725,1.1118381502890173,234
262,"Titanium
dioxide","Iron
oxide",0.5693430656934306,0.6763005780346821,0.8418491484184913,1.1118381502890176,234
263,"Polyethylene
glycol","Microcrystalline
cellulose",0.5206812652068127,0.7925925925925926,0.656934306569343,1.0179861111111113,214
264,"Microcrystalline
cellulose","Polyethylene
glycol",0.5206812652068127,0.66875,0.7785888077858881,1.017986111111111,214
267,"Polyethylene
glycol","Titanium
dioxide",0.6423357664233577,0.9777777777777777,0.656934306569343,1.1614643545279384,264
268,"Titanium
dioxide","Polyethylene
glycol",0.6423357664233577,0.7630057803468208,0.8418491484184916,1.1614643545279384,264
269,"Microcrystalline
cellulose","Magnesium
stearate",0.6788321167883211,0.871875,0.778588807785888,1.0094102112676056,279
270,"Magnesium
stearate","Microcrystalline
cellulose",0.6788321167883211,0.7859154929577464,0.8637469586374695,1.0094102112676056,279
271,"Microcrystalline
cellulose","Titanium
dioxide",0.6666666666666666,0.85625,0.7785888077858881,1.0171062138728324,274
272,"Titanium
dioxide","Microcrystalline
cellulose",0.6666666666666666,0.791907514450867,0.8418491484184915,1.0171062138728324,274
